PHP 7 Programming Cookbook,php7
PHP 7 Programming Blueprints,php7
Learning PHP 7,php7
Learning PHP 7 High Performance,php7
Modular Programming with PHP 7,php7
PHP 7 - Real World Application Development,php7
Better PHP Development,php
Building a Web Application with PHP and MariaDB - A Reference Guide,php
Better PHP Development,php
Getting Good with PHP,php
Instant PHP Web Scraping,php
Integrating Web Services with OAuth and PHP,php
Jump Start PHP Environment,php
Jump Start PHP,php
Learning PHP - A Gentle Introduction to the Web's Most Popular Language,php
Learning PHP, MySQL & JavaScript - With jQuery, CSS & HTML5 - Fourth Edition,php
Mastering PHP Design Patterns,php
Modern PHP - New Features and Good Practices,php
PHP & MySQL - Novice to Ninja - Get Up to Speed With PHP the Easy Way - Sixth Edition,php
PHP Arrays - Single, Multi-dimensional, Associative and Object Arrays in PHP 7,php
PHP Objects, Patterns, and Practice - Fifth Edition,php
PHP and MySQL Web Development - Fifth Edition,php
PHP for the Web - Visual QuickStart Guide - Fifth Edition.pdf,php
PHP in Action - Objects, Design, Agility,php
Persistence in PHP with Doctrine ORM,php
Practical PHP and MySQL Website Databases,php
Professional PHP Design Patterns,php
Scaling PHP Applications,php
Typed PHP - Stronger Types for Cleaner Code,php
